epoch,accuracy,loss,val_accuracy,val_loss
0,0.6803762912750244,1.2626773118972778,0.7677475810050964,1.142067313194275
1,0.8405162692070007,0.8769698739051819,0.7598598003387451,1.082275629043579
2,0.8593305349349976,0.8027392029762268,0.8010517358779907,0.9508130550384521
3,0.8803325295448303,0.7363181114196777,0.8212094902992249,0.8737643361091614
4,0.884270429611206,0.7107992172241211,0.8098159432411194,0.8932666778564453
5,0.8879895210266113,0.6792330145835876,0.8255915641784668,0.8496659398078918
6,0.8943338394165039,0.6539968252182007,0.8054338097572327,0.8370463252067566
7,0.8980529308319092,0.6273651719093323,0.8396143913269043,0.7998241186141968
8,0.9024283289909363,0.6196839213371277,0.8422436714172363,0.7690616846084595
9,0.9068037867546082,0.5894493460655212,0.8527607321739197,0.7375330328941345
10,0.9076788425445557,0.5784645080566406,0.8545135855674744,0.748110830783844
11,0.9122730493545532,0.5580622553825378,0.8378615379333496,0.7508084774017334
12,0.9096477627754211,0.5474564433097839,0.8659070730209351,0.6658160090446472
13,0.9153358340263367,0.5314401388168335,0.8527607321739197,0.7061448693275452
14,0.9162108898162842,0.5212796926498413,0.8553900122642517,0.6786375045776367
15,0.9192736744880676,0.5073927640914917,0.8606485724449158,0.6781384944915771
16,0.9208050966262817,0.4994030296802521,0.89570552110672,0.6119465231895447
17,0.9232115745544434,0.48765072226524353,0.8825591802597046,0.6143820285797119
18,0.9164296388626099,0.48892009258270264,0.8518843054771423,0.6445627808570862
19,0.9247429370880127,0.47474390268325806,0.8711656332015991,0.6101561784744263
20,0.9275869727134705,0.45145082473754883,0.848378598690033,0.6668513417243958
21,0.9243053793907166,0.453980952501297,0.8737949132919312,0.5884137153625488
